Core-index,jlpt,Vocab-expression,Vocab-kana,Bahasa-meaning,Vocab-meaning-eng,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning-Bahasa,Sentence-meaning-eng
167,JLPT2,週,しゅう,Minggu,week,Noun,その次の週は空いてますか。,その つぎ の しゅう は あいてます か,Apakah minggu depan kamu kosong?,Are you free the following week?
168,JLPT4,漢字,かんじ,Kanji,"character, kanji",Noun,漢字は中国から来ました。,かんじ は ちゅうごく から きました,Kanji berasal dari China.,Kanji came from China.
169,JLPT4,自転車,じてんしゃ,Sepeda,bicycle,Noun,毎日、駅まで自転車で行きます。,まいにち えき まで じてんしゃ で いきます,Saya pergi ke stasiun dengan sepeda setiap hari.,I go to the station by bike every day.
170,JLPT4,電車,でんしゃ,Kereta,train,Noun,私は電車で通学しています。,わたし は でんしゃ で つうがく して います,Saya pergi ke sekolah dengan kereta.,I go to school by train.
171,JLPT3,探す,さがす,Mencari,"search for, look for",Verb,彼は郵便局を探していました。,かれ は ゆうびんきょく を さがして いました,Dia sedang mencari kantor pos.,He was looking for the post office.
172,JLPT4,紙,かみ,Kertas,paper,Noun,紙と鉛筆はありますか。,かみ と えんぴつ は あります か,Apakah ada kertas dan pensil?,Do you have paper and pencil?
173,JLPT4,歌う,うたう,Bernyanyi,sing,Verb,私たちは大きな声で歌いました。,わたしたち は おおき な こえ で うたいました,Kami bernyanyi dengan suara keras.,We sang loudly.
174,JLPT4,遅い,おそい,Lambat,"slow, late",Adjective,前の車はとても遅い。,まえ の くるま は とても おそい,Mobil di depan sangat lambat.,The car in front is very slow.
175,JLPT3,首,くび,Leher,neck,Noun,きりんの首は長い。,きりん の くび は ながい,Leher jerapah panjang.,Giraffes' necks are long.
176,JLPT4,速い,はやい,Cepat,fast,Adjective,彼は走るのが速い。,かれ は はしる の が はやい,Dia berlari dengan cepat.,He runs fast.
177,JLPT0,一緒に,いっしょに,Bersama-sama,"together, at the same time",Adverb,一緒に帰りましょう。,いっしょに かえりましょう,Mari pulang bersama-sama.,Let's go home together.
178,JLPT3,日記,にっき,Buku harian,diary,Noun,私は毎日、日記を付けています。,わたし は まいにち にっき を つけて います,Saya menulis buku harian setiap hari.,I keep a diary every day.
179,JLPT4,今月,こんげつ,Bulan ini,this month,Noun,今月はとても忙しい。,こんげつ は とても いそがしい,Bulan ini sangat sibuk.,I'm very busy this month.
180,JLPT4,遊ぶ,あそぶ,Bermain,play,Verb,子供たちが公園で遊んでいる。,こどもたち が こうえん で あそんで いる,Anak-anak bermain di taman.,The children are playing in the park.
181,JLPT4,遠い,とおい,Jauh,"far, distant",Adjective,家から学校までは遠いです。,いえ から がっこう まで は とおい です,Sekolah jauh dari rumah.,It's a long way from my house to the school.
182,JLPT3,弱い,よわい,Lemah,weak,Adjective,その子は体が少し弱い。,その こ は からだ が すこし よわい,Anak itu tubuhnya sedikit lemah.,That child has a somewhat weak constitution.
183,JLPT4,耳,みみ,Telinga,"ear, hearing",Noun,彼女は耳がよく聞こえません。,かのじょ は みみ が よく きこえません,Dia tidak bisa mendengar dengan baik.,Her hearing isn't very good.
184,JLPT4,座る,すわる,Duduk,"sit, sit down",Verb,私は窓側の席に座った。,わたし は まどがわ の せき に すわった,Saya duduk di kursi dekat jendela.,I sat in a window seat.
185,JLPT4,右,みぎ,Kanan,right,Noun,右のポケットにハンカチが入っています。,みぎ の ぽけっと に はんかち が はいって います,Ada sapu tangan di saku kanan.,There's a handkerchief in my right pocket.
186,JLPT2,浴びる,あびる,Mandi,take (a shower),Verb,私は朝、シャワーを浴びます。,わたし は あさ しゃわー を あびます,Saya mandi pagi.,I take a shower in the morning.
187,JLPT2,肩,かた,Bahu,shoulder,Noun,肩が凝りました。,かた が こりました,Bahu saya kaku.,My shoulders are stiff.
188,JLPT4,飲む,のむ,Minum,drink,Verb,友達とお酒を飲んでいます。,ともだち と おさけ を のんで います,Saya sedang minum alkohol dengan teman.,I'm drinking sake with a friend.
189,JLPT4,寝る,ねる,Tidur,"sleep, go to sleep",Verb,もう寝よう。,もう ねよう,Mari tidur.,Let's go to bed.
190,JLPT4,消す,けす,Mematikan,"switch off, turn off",Verb,昼間は電気を消してください。,ひるま は でんき を けして ください,Matikan lampu di siang hari.,Please turn the lights off during the day.
191,JLPT4,元気,げんき,Sehat,"healthy, energetic",Adjective,おかげさまで元気です。,おかげさま で げんき です,"Terima kasih, saya sehat.","I'm fine, thank you."
192,JLPT3,負ける,まける,Kalah,lose,Verb,私たちのチームはその試合で負けた。,わたしたち の ちーむ は その しあい で まけた,Tim kami kalah dalam pertandingan itu.,Our team lost the game.
193,JLPT4,全部,ぜんぶ,Semua,"all, wholly",Adverb,それ、全部ください。,それ ぜんぶ ください,Beri saya semua itu.,"I'd like all of those, please."
194,JLPT4,去年,きょねん,Tahun lalu,last year,Noun,私は去年フランスへ行った。,わたし は きょねん ふらんす へ いった,Saya pergi ke Prancis tahun lalu.,I went to France last year.
195,JLPT4,引く,ひく,Tarik,"draw, pull",Verb,このドアは引いてください。,この どあ は ひいて ください,Tarik pintu ini.,Please pull this door open.
196,JLPT4,図書館,としょかん,Perpustakaan,library,Noun,図書館で料理の本を借りた。,としょかん で りょうり の ほん を かりた,Saya meminjam buku masakan di perpustakaan.,I borrowed a cookbook from the library.
197,JLPT4,上げる,あげる,Mengangkat,"raise, improve",Verb,彼は荷物をあみだなに上げた。,かれ は にもつ を あみだな に あげた,Dia mengangkat barang ke rak atas.,He put the luggage on the luggage rack.
198,JLPT3,緑,みどり,Hijau,"green, foliage",Noun,この町には緑がたくさんあります。,この まち に は みどり が たくさん あります,Kota ini banyak hijauannya.,There's a lot of greenery in this town.
199,JLPT3,腕,うで,Lengan,arm,Noun,彼の腕は太い。,かれ の うで は ふとい,Lengannya besar.,He has big arms.
200,JLPT4,ドア,ドア,Pintu,door,Noun,ドアを開けてください。,どあ を あけて ください,Tolong buka pintu.,Please open the door.
201,JLPT2,閉じる,とじる,Menutup,close,Verb,教科書を閉じてください。,きょうかしょ を とじて ください,Tolong tutup buku pelajaran.,Please close your textbooks.
202,JLPT2,時,とき,Waktu,time,Noun,時の経つのは早い。,とき の たつ の は はやい,Waktu berlalu dengan cepat.,Time passes by quickly.
203,JLPT3,米,こめ,Nasi,rice (grain),Noun,日本人はお米が大好きです。,にほんじん は おこめ が だいすき です,Orang Jepang sangat suka nasi.,Japanese people love rice.
204,JLPT4,切る,きる,Memotong,cut,Verb,この紙を半分に切ってください。,この かみ を はんぶん に きって ください,Tolong potong kertas ini menjadi dua.,Please cut this paper in half.
205,JLPT3,線,せん,Garis,line,Noun,赤い線を2本引いて下さい。,あかい せん を に ほん ひいて ください,Tolong tarik dua garis merah.,Please draw two red lines.
206,JLPT0,決まる,きまる,Diputuskan,be decided,Verb,旅行の日程が決まりました。,りょこう の にってい が きまりました,Jadwal perjalanan telah diputuskan.,I've decided on my travel schedule.
207,JLPT4,楽しい,たのしい,Menyenangkan,"fun, enjoyable",Adjective,彼はとても楽しい人です。,かれ は とても たのしい ひと です,Dia orang yang sangat menyenangkan.,He's very fun to be with.
208,JLPT4,服,ふく,Pakaian,clothes,Noun,昨日、新しい服を買った。,きのう あたらしい ふく を かった,Kemarin saya membeli pakaian baru.,I bought some new clothes yesterday.
209,JLPT0,後ろ,うしろ,Belakang,"back, behind",Noun,後ろを向いて。,うしろ を むいて,Lihat ke belakang.,Turn around.
210,JLPT2,嬉しい,うれしい,Senang,"happy, glad",Adjective,彼に会えて嬉しかった。,かれ に あえて うれしかった,Saya senang bisa bertemu dengannya.,I was glad to meet him.
211,JLPT2,腰,こし,Pinggang,"hip, lower back",Noun,昨日から腰が痛い。,きのう から こし が いたい,Pinggang saya sakit sejak kemarin.,I've had a pain in my lower back since yesterday.
212,JLPT4,日曜日,にちようび,Minggu,Sunday,Noun,日曜日は海に行きました。,にちようび は うみ に いきました,Saya pergi ke laut pada hari Minggu.,We went to the seaside on Sunday.
213,JLPT4,開ける,あける,Membuka,"open, unlock",Verb,窓を開けてください。,まど を あけて ください,Tolong buka jendela.,Please open the window.
214,JLPT4,昼,ひる,Siang,"daytime, midday",Noun,私は昼のドラマを毎日見ます。,わたし は ひる の どらま を まいにち みます,Saya menonton drama siang setiap hari.,I watch daytime dramas every day.
215,JLPT4,お母さん,おかあさん,Ibu,mother,Noun,お母さんによろしくお伝えください。,おかあさん に よろしく おつたえ ください,Tolong sampaikan salam saya kepada ibumu.,Please give my best to your mother.
216,JLPT4,留学生,りゅうがくせい,Mahasiswa asing,student studying abroad,Noun,彼は留学生です。,かれ は りゅうがくせい です,Dia adalah mahasiswa asing.,He's a foreign student.
217,JLPT3,大学生,だいがくせい,Mahasiswa,university student,Noun,姉は大学生です。,あね は だいがくせい です,Kakak perempuan saya adalah mahasiswa.,My big sister's a college student.
218,JLPT3,終わり,おわり,Akhir,"end, conclusion",Noun,夏休みももう終わりだ。,なつやすみ も もう おわり だ,Liburan musim panas sudah berakhir.,Summer vacation's already over.
219,JLPT2,背,せ,Tinggi,"height, stature",Noun,彼女は背が高い。,かのじょ は せ が たかい,Dia tinggi.,She's tall.
220,JLPT3,手伝う,てつだう,Membantu,"help, assist",Verb,私が手伝いましょう。,わたし が てつだいましょう,Biar saya membantu.,Can I help you?
221,JLPT4,鼻,はな,Hidung,nose,Noun,鼻がかゆいです。,はな が かゆい です,Hidung saya gatal.,My nose itches.
222,JLPT4,起きる,おきる,Terjadi,occur,Verb,近所で盗難事件が起きました。,きんじょ で とうなん じけん が おきました,Kejadian pencurian terjadi di sekitar sini.,Some burglaries occurred in the neighborhood.
223,JLPT4,熱い,あつい,Panas,"hot (things, touch)",Adjective,このスープはとても熱い。,この すーぷ は とても あつい,Sup ini sangat panas.,This soup is very hot.
224,JLPT2,載せる,のせる,Menaruh,"place, put on",Verb,皿にケーキを載せました。,さら に けーき を のせました。,Saya menaruh kue di piring.,I put the cake on the plate.
225,JLPT3,悲しい,かなしい,Sedih,sad,Adjective,その映画はとても悲しかった。,その えいが は とても かなしかった,Film itu sangat sedih.,That movie was very sad.
226,JLPT2,愛する,あいする,Mencintai,"love, care for",Verb,私は家族を愛しています。,わたし は かぞく を あいして います,Saya mencintai keluarga saya.,I love my family.
227,JLPT2,しゃべる,しゃべる,Mengobrol,"chat, talk",Verb,彼女はよくしゃべるね。,かのじょ は よく しゃべる ね,"Dia suka mengobrol, ya.","She really likes to chat, doesn't she?"
228,JLPT4,近く,ちかく,Dekat,"vicinity, nearby",Noun,私の家は駅の近くです。,わたし の いえ は えき の ちかく です,Rumah saya dekat dengan stasiun.,My house is near the station.
229,JLPT4,甘い,あまい,Manis,sweet,Adjective,このイチゴは甘い。,この いちご は あまい,Stroberi ini manis.,This strawberry is sweet.
230,JLPT4,テーブル,テーブル,Meja,table,Noun,新しいテーブルを買いました。,あたらしい てーぶる を かいました,Saya membeli meja baru.,I bought a new table.
231,JLPT4,食べ物,たべもの,Makanan,food,Noun,日本の食べ物はとても美味しいです。,にっぽん の たべもの は とても おいしい です,Makanan Jepang sangat enak.,Japanese food is very delicious.
232,JLPT4,始まる,はじまる,Mulai,begin,Verb,新しい仕事が始まりました。,あたらしい しごと が はじまりました,Pekerjaan baru telah dimulai.,My new job started.
233,JLPT2,ゲーム,ゲーム,Permainan,game,Noun,私たちはビデオゲームをした。,わたしたち は びでおげーむ を した,Kami bermain video game.,We played a video game.
234,JLPT4,十,じゅう,Sepuluh,ten,Noun,その子は指で十数えました。,その こ は ゆび で じゅう かぞえました,Anak itu menghitung sampai sepuluh dengan jari.,The child counted to ten on her fingers.
235,JLPT4,天気,てんき,Cuaca,weather,Noun,今日はいい天気ですね。,きょう は いい てんき です ね,"Cuaca bagus hari ini, ya.",It's nice out today.
236,JLPT4,暑い,あつい,Panas,"hot, warm (temperature of the air)",Adjective,今日はとても暑い。,きょう は とても あつい,Hari ini sangat panas.,It's very hot today.
237,JLPT4,太い,ふとい,Besar,"thick, fat",Adjective,彼女は足が太い。,かのじょ は あし が ふとい,Kakinya besar.,She has fat legs.
238,JLPT4,晩,ばん,Malam,evening (usually from sunset to bedtime),Noun,晩ご飯は食べましたか。,ばんごはん は たべました か,Apakah kamu sudah makan malam?,Have you had dinner?
239,JLPT4,土曜日,どようび,Sabtu,Saturday,Noun,土曜日の夜はクラブに行きます。,どようび の よる は くらぶ に いきます,Saya pergi ke klub pada Sabtu malam.,I'm going to a club Saturday night.
240,JLPT2,神,かみ,Tuhan,"god, spirit",Noun,彼は神を信じている。,かれ は かみ を しんじて いる,Dia percaya pada Tuhan.,He believes in God.
241,JLPT4,痛い,いたい,Sakit,painful,Adjective,今日は頭が痛いです。,きょう は あたま が いたい です,Hari ini kepalaku sakit.,I have a headache today.
242,JLPT4,お父さん,おとうさん,Ayah,father,Noun,お父さんは会社員です。,おとうさん は かいしゃいん です,Ayah adalah pekerja kantoran.,My father's a company employee.
243,JLPT2,多分,たぶん,Mungkin,"probably, perhaps",Adverb,彼女は多分家で寝ています。,かのじょ は たぶん いえ で ねて います,Mungkin dia sedang tidur di rumah.,She's probably sleeping at home.
244,JLPT4,時計,とけい,Jam,"clock, watch",Noun,時計を見たらちょうど3時だった。,とけい を みたら ちょうど さんじ だった,"Saat saya melihat jam, sudah jam 3 tepat.",I looked at the clock and it was exactly three.
245,JLPT3,泊まる,とまる,Menginap,stay overnight,Verb,今日はこのホテルに泊まります。,きょう は この ほてる に とまります,Saya menginap di hotel ini hari ini.,I'm staying at this hotel today.
246,JLPT4,どうして,どうして,Kenapa,why,Adverb,どうして泣いているの。,どうして ないて いる の,Kenapa kamu menangis?,Why are you crying?
247,JLPT2,掛ける,かける,Menggantung,"hang, put on",Verb,夫の服をハンガーに掛けた。,おっと の ふく を はんがー に かけた,Saya menggantung pakaian suami di hanger.,I put my husband's clothes on a hanger.
248,JLPT0,曲がる,まがる,Belok,turn,Verb,そこを左に曲がってください。,そこ を ひだり に まがって ください,Tolong belok kiri di sana.,Please turn left there.
249,JLPT4,おなか,おなか,Perut,stomach,Noun,おなかが空きました。,おなか が すきました,Saya lapar.,I'm hungry.
250,JLPT0,ミーティング,ミーティング,Pertemuan,meeting,Noun,朝9時からミーティングが始まった。,あさ 9 じ から みーてぃんぐ が はじまった,Pertemuan dimulai pukul 9 pagi.,The meeting started at 9 a.m.
251,JLPT4,閉める,しめる,Menutup,"shut, close",Verb,ちゃんとドアを閉めてよ。,ちゃんと どあ を しめてよ,Tolong tutup pintunya dengan benar.,Close the door properly.
252,JLPT4,嫌い,きらい,Tidak suka,dislike,Adjective,私はタバコが嫌いです。,わたし は たばこ が きらい です,Saya tidak suka rokok.,I hate cigarettes.
253,JLPT4,金曜日,きんようび,Jumat,Friday,Noun,金曜日の夜は友達と出かけます。,きんようび の よる は ともだち と でかけます,Saya pergi keluar dengan teman pada Jumat malam.,I go out with my friends on Friday nights.
254,JLPT4,要る,いる,Perlu,"need, require",Verb,予約は要りません。,よやく は いりません,Tidak perlu reservasi.,Reservations are not required.
255,JLPT2,無い,ない,Tidak ada,to not be,Adjective,ここには何も無い。,ここ に は なに も ない,Tidak ada apa-apa di sini.,There's nothing here.
256,JLPT4,黄色い,きいろい,Kuning,yellow,Adjective,彼女に黄色いバラを買いました。,かのじょ に きいろい ばら を かいました,Saya membeli mawar kuning untuk dia.,I bought her a yellow rose.
257,JLPT2,風邪,かぜ,Pilek,cold (illness),Noun,私は風邪を引きました。,わたし は かぜ を ひきました 。,Saya terkena pilek.,I caught a cold.
258,JLPT3,優しい,やさしい,Baik,"gentle, kind",Adjective,彼はとても優しい人です。,かれ は とても やさしい ひと です,Dia orang yang sangat baik.,He's a very kind person.
259,JLPT4,晴れる,はれる,Cerah,"be sunny, clear up",Verb,明日は晴れるといいですね。,あした は はれる と いい です ね,Semoga besok cerah.,I hope it'll be sunny tomorrow.
260,JLPT4,大好き,だいすき,Sangat suka,love,Adjective,私は犬が大好きだ。,わたし は いぬ が だいすき だ,Saya sangat suka anjing.,I love dogs.
261,JLPT4,茶色,ちゃいろ,Coklat,light brown,Noun,彼女は茶色の靴を履いています。,かのじょ は ちゃいろ の くつ を はいて います,Dia memakai sepatu coklat.,She's wearing brown shoes.
262,JLPT4,汚い,きたない,Kotor,dirty,Adjective,彼の部屋はとても汚い。,かれ の へや は とても きたない,Kamarnya sangat kotor.,His room is very dirty.
263,JLPT2,空く,すく,Kosong,be empty,Verb,レストランは空いていました。,れすとらん は すいて いました,Restorannya kosong.,The restaurant was empty.
264,JLPT2,上る,のぼる,Naik,go up,Verb,猫が屋根に上っている。,ねこ が やね に のぼって いる,Kucing sedang naik ke atap.,The cat's up on the roof.
265,JLPT0,ご飯,ごはん,Nasi,"cooked rice, meal",Noun,私はパンよりご飯が好きだ。,わたし は ぱん より ごはん が すき だ,Saya lebih suka nasi daripada roti.,I prefer rice to bread.
266,JLPT2,日,にち,Hari,day,Noun,私たちは先月11日に結婚しました。,わたしたち は せんげつ じゅういち にち に けっこん しました,Kami menikah pada tanggal 11 bulan lalu.,We got married last month on the 11th.
267,JLPT2,髪の毛,かみのけ,Rambut,hair,Noun,髪の毛が伸びたね。,かみのけ が のびた ね,"Rambutmu tumbuh panjang, ya.","Your hair's longer, isn't it?"
268,JLPT4,つける,つける,Menyalakan,switch on,Verb,電気をつけてください。,でんき を つけて ください,Tolong nyalakan lampu.,Please turn on the light.
269,JLPT4,月曜日,げつようび,Senin,Monday,Noun,月曜日に会いましょう。,げつようび に あいましょう,Mari bertemu pada hari Senin.,Let's meet on Monday.
270,JLPT4,入る,はいる,Masuk,enter,Verb,寒いので中に入ってください。,さむい の で なか に はいって ください,Masuklah ke dalam karena dingin.,It's cold so please come inside.
271,JLPT4,片仮名,かたかな,Katakana,katakana,Noun,お名前を片仮名で書いてください。,おなまえ を かたかな で かいて ください,Tolong tulis nama Anda dengan katakana.,Please write your name in katakana.
272,JLPT4,今週,こんしゅう,Minggu ini,this week,Noun,今週は日本語のテストがあります。,こんしゅう は にほんご の てすと が あります,Minggu ini ada tes bahasa Jepang.,There's a Japanese test this week.
273,JLPT3,開く,ひらく,Membuka,open,Verb,32ページを開いてください。,さんじゅうにぺーじ を ひらいて ください,Pintu kereta terbuka.,Please open to page 32.
274,JLPT4,水,みず,Air,water,Noun,水を一杯ください。,みず を いっぱい ください,Beri saya segelas air.,Please give me a glass of water.
275,JLPT4,あれ,あれ,Itu,that over there,Noun,あれは何ですか。,あれ は なん です か,Apa itu?,What's that?
276,JLPT4,二,に,Dua,two,Noun,その人には二回会った。,その ひと に は に かい あった,Saya bertemu orang itu dua kali.,I met that person twice.
277,JLPT4,閉まる,しまる,Tutup,"be shut, be closed",Verb,お店はもう閉まっていました。,おみせ は もう しまって いました,Toko sudah tutup.,The shop had already closed.
278,JLPT4,締める,しめる,Mengencangkan,"tighten, fasten",Verb,彼はシートベルトを締めた。,かれ は しーとべると を しめた,Dia mengencangkan sabuk pengaman.,He fastened his seat belt.
279,JLPT4,まずい,まずい,Tidak enak,"bad-tasting, bad",Adjective,ここの料理はまずい。,ここ の りょうり は まずい,Makanan di sini tidak enak.,The food here is bad.
280,JLPT4,平仮名,ひらがな,Hiragana,hiragana,Noun,私は平仮名を全部読めます。,わたし は ひらがな を ぜんぶ よめます,Saya bisa membaca semua hiragana.,I can read all the hiragana.
281,JLPT4,曇る,くもる,Berawan,become cloudy,Verb,明日は昼頃から曇るでしょう。,あす は ひるごろ から くもる でしょう,Besok mungkin akan berawan dari siang.,It'll probably get cloudy around noon tomorrow.
282,JLPT3,触る,さわる,Menyentuh,"touch, feel",Verb,絵に触らないでください。,え に さわらない で ください,Jangan sentuh lukisan.,Please don't touch the painting.
283,JLPT2,駄目,だめ,Tidak bisa,no good,Adjectival Noun,彼は駄目な男だ。,かれ は だめ な おとこ だ,Dia pria yang tidak berguna.,He's a loser.
284,JLPT0,書き直す,かきなおす,Menulis ulang,rewrite,Verb,この書類を書き直してください。,この しょるい を かきなおして ください,Tolong tulis ulang dokumen ini.,Please rewrite this document.
285,JLPT4,飲み物,のみもの,Minuman,"beverage, drink",Noun,何か飲み物が欲しいな。,なに か のみもの が ほしい な 。,Saya ingin sesuatu untuk diminum.,I could really use something to drink.
286,JLPT4,木曜日,もくようび,Kamis,Thursday,Noun,木曜日は仕事が休みです。,もくようび は しごと が やすみ です,Saya libur kerja pada hari Kamis.,Thursday is my day off work.
287,JLPT2,曜日,ようび,Hari,day of the week,Noun,曜日を間違えました。,ようび を まちがえました,Saya salah hari.,I got the day of the week wrong.
288,JLPT4,そば,そば,Dekat,"side, vicinity",Noun,そばにいて下さい。,そば に いて ください,Tolong tetap di dekat saya.,Stay with me.
289,JLPT3,こっち,こっち,Di sini,here,Pronoun,こっちに来て下さい。,こっち に きて ください,Datang ke sini.,Please come here.
290,JLPT4,火曜日,かようび,Selasa,Tuesday,Noun,火曜日に会議があります。,かようび に かいぎ が あります,Ada rapat pada hari Selasa.,There's a meeting on Tuesday.
291,JLPT2,渇く,かわく,Haus,be thirsty,Verb,喉が渇きました。,のど が かわきました,Saya haus.,I'm thirsty.
292,JLPT4,三,さん,Tiga,three,Noun,彼女は三人の子供の母親だ。,かのじょ は さんにん の こども の ははおや だ,Dia ibu dari tiga anak.,She's the mother of three children.
293,JLPT4,水曜日,すいようび,Rabu,Wednesday,Noun,水曜日はバイトがあります。,すいようび は ばいと が あります,Saya bekerja paruh waktu pada hari Rabu.,I have a part-time job on Wednesdays.
294,JLPT4,二つ,ふたつ,Dua,two (things),Noun,ソフトクリームを二つください。,そふとくりーむ を ふたつ ください,Beri saya dua es krim.,Please give me two ice cream cones.
295,JLPT4,今晩,こんばん,Malam ini,"this evening, tonight",Noun,今晩のパーティーは何時からですか。,こんばん の ぱーてぃー は なんじ から です か,Pesta malam ini mulai jam berapa?,From what time is the party tonight?
296,JLPT4,千,せん,Seribu,thousand,Noun,千円貸してください。,せんえん かして ください,Pinjamkan saya seribu yen.,Please lend me 1000 yen.
297,JLPT4,六つ,むっつ,Enam,six (things),Noun,息子は六つになりました。,むすこ は むっつ に なりました,Anak laki-laki saya sudah berumur enam tahun.,My son turned six.
298,JLPT4,六日,むいか,Enam hari,"six days, 6th of the month",Noun,六日前に日本に帰ってきました。,むいかまえ に にほん に かえって きました,Saya kembali ke Jepang enam hari yang lalu.,I came back to Japan six days ago.
299,JLPT4,お姉さん,おねえさん,Kakak perempuan,older sister,Noun,昨日、あなたのお姉さんに会ったよ。,きのう あなた の おねえさん に あった よ,Kemarin saya bertemu kakak perempuanmu.,I met your older sister yesterday.
300,JLPT3,直る,なおる,Diperbaiki,"be repaired, return to normal",Verb,クーラーはまだ直りません。,くーらー は まだ なおりません,AC masih belum diperbaiki.,The air conditioner hasn't been repaired yet.
301,JLPT4,易しい,やさしい,Mudah,"easy, simple",Adjective,この問題はかなり易しいです。,この もんだい は かなり やさしい です,Masalah ini cukup mudah.,This problem is pretty easy.
302,JLPT4,辺,へん,Dekat,"vicinity, part",Noun,彼はこの辺に住んでいます。,かれ は このへん に すんで います,Dia tinggal di sekitar sini.,He lives around here.
303,JLPT0,よう,よう,Seperti,"way, like, kind",Noun,彼女は眠いようです。,かのじょ は ねむい よう です,Sepertinya dia mengantuk.,It looks like she's sleepy.
304,JLPT4,お兄さん,おにいさん,Kakak laki-laki,older brother,Noun,あなたのお兄さんは何歳?,あなた の おにいさん は なんさい,Berapa umur kakak laki-lakimu?,How old's your big brother?
305,JLPT4,辛い,からい,Pedas,"spicy, salty",Adjective,彼は辛いものが好きです。,かれ は からい もの が すき です,Dia suka makanan pedas.,He likes spicy food.
306,JLPT4,八,はち,Delapan,eight,Noun,りんごを八個ください。,りんご を はちこ ください,Beri saya delapan apel.,Please give me eight apples.
307,JLPT4,三日,みっか,Tiga hari,"three days, 3rd of the month",Noun,手紙が届くのに三日かかりました。,てがみ が とどく の に みっか かかりました,Butuh tiga hari untuk surat sampai.,It took three days for the letter to arrive.
308,JLPT4,あそこ,あそこ,Di sana,over there,Pronoun,あそこにバス停があります。,あそこ に ばすてい が あります,Ada halte bus di sana.,There's a bus stop over there.
309,JLPT4,来る,くる,Datang,come,Verb,彼は昼過ぎに来ます。,かれ は ひるすぎ に きます,Dia akan datang setelah siang.,He'll come after lunch.
310,JLPT4,前,まえ,Depan,"front, before",Noun,その店の前で会いましょう。,その みせ の まえ で あいましょう,Mari bertemu di depan toko itu.,Let's meet in front of the shop.
311,JLPT4,五日,いつか,Lima hari,"five days, 5th of the month",Noun,五月五日は祝日です,ごがつ いつか は しゅくじつ です,Tanggal 5 Mei adalah hari libur.,May 5th is a holiday.
312,JLPT0,一杯,いっぱい,Penuh,full,Adverb,プールは人で一杯です。,ぷーる は ひと で いっぱい です,Kolam renang penuh dengan orang.,The pool is packed.
313,JLPT4,九,きゅう,Sembilan,nine,Noun,野球は九人で1チームです。,やきゅう は きゅうにん で ひとちーむ です,Baseball dimainkan oleh satu tim yang terdiri dari sembilan orang.,In baseball there are nine people on one team.
314,JLPT0,酸っぱい,すっぱい,Asam,sour,Adjective,このぶどうは酸っぱいです。,この ぶどう は すっぱい です,Anggur ini asam.,These grapes are sour.
315,JLPT4,違う,ちがう,Berbeda,"differ, be wrong",Verb,答えが違います。,こたえ が ちがいます,Jawabannya berbeda.,That's the wrong answer.
316,JLPT4,細い,ほそい,Langsing,"thin, slender, narrow",Adjective,彼女は指が細いですね。,かのじょ は ゆび が ほそい です ね,"Jarinya langsing, ya.",Her fingers are thin.
317,JLPT4,三つ,みっつ,Tiga,three (things),Noun,コップを三つ買いました。,こっぷ を みっつ かいました,Saya membeli tiga gelas.,I bought three glasses.
318,JLPT4,八日,ようか,Delapan hari,"eight days, 8th of the month",Noun,八日からイギリスに行きます。,ようか から いぎりす に いきます,Saya pergi ke Inggris pada tanggal delapan.,I go to England on the eighth.
319,JLPT3,高校生,こうこうせい,Siswa SMA,high school student,Noun,私の弟は高校生です。,わたし の おとうと は こうこうせい です,Adik laki-laki saya adalah siswa SMA.,My little brother's a high school student.
320,JLPT4,上手,じょうず,Pandai,"good, skilled",Adjectival Noun,妹は歌が上手です。,いもうと は うた が じょうず です,Adik perempuan saya pandai bernyanyi.,My little sister can sing.
321,JLPT4,強い,つよい,Kuat,strong,Adjective,今日は風が強い。,きょう は かぜ が つよい,Hari ini anginnya kencang.,There's a strong wind today.
322,JLPT2,七,なな,Tujuh,seven,Noun,バナナが七本あります。,ばなな が ななほん あります,Ada tujuh pisang.,There are seven bananas.
323,JLPT4,二十日,はつか,Dua puluh hari,"20 days, 20th of the month",Noun,来月の二十日は弟の誕生日です。,らいげつ の はつか は おとうと の たんじょうび です,Tanggal 20 bulan depan adalah ulang tahun adik laki-laki saya.,The 20th of next month is my little brother's birthday.
324,JLPT4,左,ひだり,Kiri,left,Noun,そこを左に曲がってください。,そこ を ひだり に まがって ください,Belok kiri di sana.,Please turn left there.
325,JLPT4,二日,ふつか,Dua hari,"two days, 2nd of the month",Noun,私は二日待った。,わたし は ふつか まった,Saya menunggu dua hari.,I waited two days.
326,JLPT4,四つ,よっつ,Empat,four (things),Noun,私は腕時計を四つ持っています。,わたし は うでどけい を よっつ もって います,Saya punya empat jam tangan.,I have four wristwatches.
327,JLPT4,暖かい,あたたかい,Hangat,warm,Adjective,このコートはとても暖かい。,この こーと は とても あたたかい。,Mantel ini sangat hangat.,This coat is really warm.
328,JLPT2,有る,ある,Ada,"exist, possess",Verb,私の机の上に書類がたくさん有ります。,わたし の つくえ の うえ に しょるい が たくさん あります,Ada banyak dokumen di atas meja saya.,There are a lot of documents on my desk.
329,JLPT0,良い,いい,Baik,good,Adjective,彼女は良い友達です。,かのじょ は いい ともだち です,Dia adalah teman baik.,She's a good friend.
