Core-index,jlpt,Vocab-expression,Vocab-kana,Vocab-meaning-eng,Nep-meaning,Vocab-pos,Sentence-expression,Sentence-meaning-nep,Sentence-kana,Sentence-meaning-eng,Mnemonic,Explanation
551,JLPT1,資金,しきん,"funds, capital","पूँजी, रकम",Noun,私たちは今、結婚資金を貯めています。,हामी अहिले विवाहको लागि पूँजी जम्मा गर्दैछौं।,わたしたち は いま けっこん しきん を ためて います,We're saving for the wedding now.,"Picture a giant can (資 - し) filled with gold coins (金 - きん) representing funds. 資金 (しきん) means 'funds' in Japanese. Picture the can saying, 'Filled with funds!'","{'word': '資金', 'pronunciation': 'しきん', 'meanings': [{'nepali': 'पूँजी', 'english': 'funds', 'details': ['आर्थिक स्रोतहरू।']}, {'nepali': 'रकम', 'english': 'capital', 'details': ['व्यवसायमा लगानीको लागि चाहिने आर्थिक स्रोत।']}]}"
552,JLPT4,銀行,ぎんこう,bank,बैंक,Noun,銀行は3時まで開いています。,बैंक तीन बजेसम्म खुल्छ।,ぎんこう は さんじ まで あいて います,The bank is open until three o'clock.,"Imagine a giant piggy bank (銀 - ぎん) that’s actually a dragon (行 - こう) guarding its treasure. 銀行 (ぎんこう) means 'bank' in Japanese. Picture the dragon saying, 'Protecting the bank!'","{'word': '銀行', 'pronunciation': 'ぎんこう', 'meanings': [{'nepali': 'बैंक', 'english': 'bank', 'details': ['आर्थिक कारोबारको लागि संस्था।']}]}"
553,JLPT2,事実,じじつ,"fact, truth","तथ्य, साँचो कुरा",Noun,それは全て事実ですか。,यो सबै साँचो हो?,それ は すべて じじつ です か,Is it all true?,"Visualize a genie (事 - じ) presenting facts (事実 - じじつ) on a golden scroll. 事実 (じじつ) means 'fact' in Japanese. Picture the genie saying, 'Here are the facts!'","{'word': '事実', 'pronunciation': 'じじつ', 'meanings': [{'nepali': 'तथ्य', 'english': 'fact', 'details': ['कुनै कुरा वा घटनाको वास्तविकता।']}, {'nepali': 'साँचो कुरा', 'english': 'truth', 'details': ['कुनै कुरा वा घटनाको सत्यता।']}]}"
554,JLPT2,決定,けってい,"decision, settlement","निर्णय, स्थिरता",Verbal Noun,会議で重要な決定がありました。,बैठकमा महत्वपूर्ण निर्णय गरियो।,かいぎ で じゅうよう な けってい が ありました,An important decision was made at the conference.,"Imagine a giant kettle (決 - けつ) deciding (定 - てい) the winner of a tea-making contest. 決定 (けってい) means 'decision' in Japanese. Picture the kettle saying, 'Decision made!'","{'word': '決定', 'pronunciation': 'けってい', 'meanings': [{'nepali': 'निर्णय', 'english': 'decision', 'details': ['कुनै कार्य वा योजनाको लागि लिइएको अन्तिम निर्णय।']}, {'nepali': 'स्थिरता', 'english': 'settlement', 'details': ['कुनै विवाद वा मुद्दाको अन्तिम स्थिरता।']}]}"
555,JLPT2,方向,ほうこう,"direction, course","दिशा, मार्ग",Noun,あの人たちは皆、同じ方向を見ている。,ती सबै व्यक्ति एउटै दिशामा हेरिरहेका छन्।,あの ひとたち は みな おなじ ほうこう を みて いる,Those people are all looking in the same direction.,"Picture a hawk (方 - ほう) flying towards a glowing cornfield (向 - こう). 方向 (ほうこう) means 'direction' in Japanese. Imagine the hawk saying, 'This way to the corn!'","{'word': '方向', 'pronunciation': 'ほうこう', 'meanings': [{'nepali': 'दिशा', 'english': 'direction', 'details': ['कुनै स्थान वा गन्तव्यको दिशा।']}, {'nepali': 'मार्ग', 'english': 'course', 'details': ['कुनै कार्य वा यात्रा गर्ने मार्ग।']}]}"
556,JLPT2,住宅,じゅうたく,"housing, residence","आवास, निवास",Noun,ここは静かな住宅地だ。,यो शान्त आवासीय क्षेत्र हो।,ここ は しずかな じゅうたくち だ,This is a quiet residential area.,"Visualize a giant juke-box (住 - じゅう) playing music in a cozy house (宅 - たく). 住宅 (じゅうたく) means 'residence' in Japanese. Picture the juke-box saying, 'Home sweet home!'","{'word': '住宅', 'pronunciation': 'じゅうたく', 'meanings': [{'nepali': 'आवास', 'english': 'housing', 'details': ['बसेर बस्ने स्थान।']}, {'nepali': 'निवास', 'english': 'residence', 'details': ['रहने स्थान।']}]}"
557,JLPT2,代表,だいひょう,representative,प्रतिनिधि,Verbal Noun,彼がクラスの代表だ。,उहाँ कक्षाको प्रतिनिधि हुनुहुन्छ।,かれ が くらす の だいひょう だ,He's the class representative.,"Imagine a giant bear (代 - だい) representing (表 - ひょう) his forest in a grand council. 代表 (だいひょう) means 'representative' in Japanese. Picture the bear saying, 'I represent the forest!'","{'word': '代表', 'pronunciation': 'だいひょう', 'meanings': [{'nepali': 'प्रतिनिधि', 'english': 'representative', 'details': ['कुनै समूहको प्रतिनिधित्व गर्ने व्यक्ति।']}]}"
558,JLPT2,激しい,はげしい,"violent, intense","भीषण, तीव्र",Adjective,激しい雨が降っています。,भीषण वर्षा भइरहेको छ।,はげしい あめ が ふって います,A very heavy rain is falling.,"Picture a giant hag (激 - はげ) running a fiery and intense race (激しい - はげしい). 激しい (はげしい) means 'intense' in Japanese. Picture the hag saying, 'Feel the intensity!'","{'word': '激しい', 'pronunciation': 'はげしい', 'meanings': [{'nepali': 'भीषण', 'english': 'violent', 'details': ['धेरै बलियो वा उग्र।']}, {'nepali': 'तीव्र', 'english': 'intense', 'details': ['धेरै शक्तिशाली वा उग्र।']}]}"
559,JLPT2,株,かぶ,"stocks, shares","सेयर, शेयर",Noun,最近株を始めました。,भर्खर सेयर कारोबार सुरु गरें।,さいきん かぶ を はじめました,I recently started investing in stocks.,"Imagine a cab (株 - かぶ) filled with stock certificates driving around Wall Street. 株 (かぶ) means 'stock' in Japanese. Picture the cab saying, 'Stocks on the move!'","{'word': '株', 'pronunciation': 'かぶ', 'meanings': [{'nepali': 'सेयर', 'english': 'stocks', 'details': ['कुनै कम्पनीको स्वामित्वको हिस्सा।']}, {'nepali': 'शेयर', 'english': 'shares', 'details': ['कुनै कम्पनीको स्वामित्वको हिस्सा।']}]}"
560,JLPT1,交渉,こうしょう,"negotiation, bargaining","वार्ता, मोलमोलाई",Verbal Noun,今、値段を交渉しています。,म अहिले मूल्यमा मोलमोलाई गरिरहेको छु।,いま ねだん を こうしょう して います,We're currently negotiating the price.,"Visualize a cow (交 - こう) negotiating (渉 - しょう) a peace treaty with a sheep. 交渉 (こうしょう) means 'negotiation' in Japanese. Picture the cow saying, 'Let’s negotiate!'","{'word': '交渉', 'pronunciation': 'こうしょう', 'meanings': [{'nepali': 'वार्ता', 'english': 'negotiation', 'details': ['दुई पक्षबीचको छलफल।']}, {'nepali': 'मोलमोलाई', 'english': 'bargaining', 'details': ['मूल्य वा सर्तहरूमा सम्झौता गर्ने प्रक्रिया।']}]}"
561,JLPT2,結果,けっか,"result, outcome",परिणाम,Noun,試合の結果を早く知りたい。,म खेलको परिणाम चाँडै जान्न चाहन्छु।,しあい の けっか を はやく しりたい,I want to know soon the results of the game.,"Imagine a koala (結 - けっ) revealing the results (果 - か) of a big experiment. 結果 (けっか) means 'result' in Japanese. Picture the koala saying, 'Here are the results!'","{'word': '結果', 'pronunciation': 'けっか', 'meanings': [{'nepali': 'परिणाम', 'english': 'result', 'details': ['कुनै कार्य वा घटनाको अन्तिम स्थिति।']}, {'nepali': 'निष्कर्ष', 'english': 'outcome', 'details': ['कुनै प्रक्रिया वा घटनाको अन्तिम स्थिति।']}]}"
562,JLPT2,全体,ぜんたい,"whole, total","समग्र, कुल",Noun,全体の80パーセントが完成しました。,समग्रको ८० प्रतिशत पूरा भयो।,ぜんたい の はちじゅっぱーせんと が かんせい しました,80 percent of the total was completed.,"Visualize a zen master (全 - ぜん) teaching a class about the whole universe (体 - たい). 全体 (ぜんたい) means 'whole' in Japanese. Picture the master saying, 'Understanding the whole!'","{'word': '全体', 'pronunciation': 'ぜんたい', 'meanings': [{'nepali': 'समग्र', 'english': 'whole', 'details': ['कुनै वस्तु वा समूहको सम्पूर्ण।']}, {'nepali': 'कुल', 'english': 'total', 'details': ['कुनै वस्तु वा समूहको पूर्ण परिमाण।']}]}"
563,JLPT2,後,のち,"after, afterwards","पछि, पछाडि",Noun,後に彼は総理大臣になりました。,पछि उहाँ प्रधानमन्त्री बन्नुभयो।,のち に かれ は そうり だいじん に なりました,He would later become Prime Minister.,"Imagine a giant goat (後 - ご) following (後 - ご) you around, waiting patiently. 後 (ご) means 'after' in Japanese. Picture the goat saying, 'I’m after you!'","{'word': '後', 'pronunciation': 'あと', 'meanings': [{'nepali': 'पछि', 'english': 'after', 'details': ['कुनै समय वा घटनाको पछाडि।']}, {'nepali': 'पछाडि', 'english': 'afterwards', 'details': ['कुनै समय वा घटनाको पछाडि।']}]}"
564,JLPT2,命令,めいれい,"command, order",आदेश,Verbal Noun,彼女は命令に従わなかった。,उहाँले आदेश पालना गर्नुभएन।,かのじょ は めいれい に したがわなかった,She did not obey orders.,"Picture a lion (命 - めい) giving orders (令 - れい) to a group of zebras. 命令 (めいれい) means 'command' or 'order' in Japanese. Imagine the lion saying, 'Follow my command!'","{'word': '命令', 'pronunciation': 'めいれい', 'meanings': [{'nepali': 'आदेश', 'english': 'command', 'details': ['कुनै उच्च अधिकारी वा व्यक्तिबाट दिइएको निर्देशन।']}, {'nepali': 'आदेश', 'english': 'order', 'details': ['कुनै कार्य वा गतिविधिका लागि दिइएको निर्देशन।']}]}"
565,JLPT3,十分,じゅうぶん,"full, plentiful","प्रचुर, पर्याप्त",Adjectival Noun,お金はまだ十分あります。,पैसा अझै पनि प्रचुर छ।,おかね は まだ じゅうぶん あります,We still have plenty of money.,"Visualize a giant ten (十分 - じゅうぶん) delivering ten boxes, saying 'This is enough!' 十分 (じゅうぶん) means 'enough' or 'sufficient' in Japanese. Picture the number saying, 'Ten is enough!'","{'word': '十分', 'pronunciation': 'じゅうぶん', 'meanings': [{'nepali': 'प्रचुर', 'english': 'plentiful', 'details': ['प्रचुर मात्रामा भएको।']}, {'nepali': 'पर्याप्त', 'english': 'sufficient', 'details': ['कुनै आवश्यकता वा उद्देश्य पूरा गर्न पर्याप्त।']}]}"
566,JLPT4,あまり,あまり,(not) much,"त्यति, धेरै",Adverb,このビールはあまり美味しくありません。,यो बियर त्यति मिठो छैन।,この びーる は あまり おいしく ありません,This beer isn't very good.,"Imagine a giant almond (あまり) that’s too much to handle. あまり means 'too much' in Japanese. Picture the almond saying, 'I’m too much!'","{'word': 'あまり', 'pronunciation': 'あまり', 'meanings': [{'nepali': 'त्यति', 'english': '(not) much', 'details': ['कुनै कुरा त्यति धेरै नभएको।']}, {'nepali': 'धेरै', 'english': 'much', 'details': ['धेरै मात्रामा।']}]}"
567,JLPT2,経営,けいえい,"management, operation",व्यवस्थापन,Verbal Noun,我が社の経営はうまくいっています。,हाम्रो कम्पनीको व्यवस्थापन राम्रो छ।,わがしゃ の けいえい は うまく いって います,Our company is well managed.,"Picture a king (経 - けい) managing (営 - えい) a giant egg factory. 経営 (けいえい) means 'management' in Japanese. Picture the king saying, 'Managing the eggs!'","{'word': '経営', 'pronunciation': 'けいえい', 'meanings': [{'nepali': 'व्यवस्थापन', 'english': 'management', 'details': ['स्रोतहरू, प्रक्रियाहरू, र मानिसहरूको समुचित नियन्त्रण र समन्वय।']}, {'nepali': 'सञ्चालन', 'english': 'operation', 'details': ['कुनै व्यवसाय वा संगठनको सञ्चालन।']}]}"
568,JLPT3,原因,げんいん,"cause, origin","कारण, उत्पत्ति",Noun,この事故の原因は何ですか。,यो दुर्घटनाको कारण के हो?,このじこ の げんいん は なん です か,What's the cause of the accident?,"Imagine a giant genie (原 - げん) identifying the cause (因 - いん) of a magical event. 原因 (げんいん) means 'cause' in Japanese. Picture the genie saying, 'Here’s the cause!'","{'word': '原因', 'pronunciation': 'げんいん', 'meanings': [{'nepali': 'कारण', 'english': 'cause', 'details': ['कुनै घटनाको उत्पत्तिको मुख्य कारण।']}, {'nepali': 'उत्पत्ति', 'english': 'origin', 'details': ['कुनै वस्तु वा घटनाको उत्पत्ति।']}]}"
569,JLPT4,写真,しゃしん,photograph,"फोटो, तस्बिर",Noun,写真は良い思い出になります。,फोटो राम्रो सम्झना हुन्छ।,しゃしん は いい おもいで に なります,Photographs make a good souvenir.,"Visualize a shark (写 - しゃ) taking photos (真 - しん) underwater with a camera. 写真 (しゃしん) means 'photograph' in Japanese. Picture the shark saying, 'Smile for the photo!'","{'word': '写真', 'pronunciation': 'しゃしん', 'meanings': [{'nepali': 'फोटो', 'english': 'photograph', 'details': ['कुनै दृश्य वा व्यक्तिको छायाचित्र।']}, {'nepali': 'तस्बिर', 'english': 'picture', 'details': ['कुनै दृश्य वा व्यक्तिको छायाचित्र।']}]}"
570,JLPT2,立場,たちば,"standpoint, position","स्थिति, दृष्टिकोण",Noun,彼女は自分の立場を分かっていない。,उहाँ आफ्नो स्थिति बुझ्नुहुन्न।,かのじょ は じぶん の たちば を わかって いない,She doesn't understand her position.,"Picture a llama (立 - たち) standing proudly in its spot (場 - ば). 立場 (たちば) means 'position' or 'standpoint' in Japanese. Picture the llama saying, 'This is my position!'","{'word': '立場', 'pronunciation': 'たちば', 'meanings': [{'nepali': 'स्थिति', 'english': 'standpoint', 'details': ['कुनै विशेष दृष्टिकोण वा स्थिति।']}, {'nepali': 'दृष्टिकोण', 'english': 'position', 'details': ['कुनै विशेष दृष्टिकोण वा स्थिति।']}]}"
571,JLPT2,対策,たいさく,"measure, action","उपाय, उपाय योजना",Noun,一緒に対策を考えましょう。,संगै उपाय योजना गरौं।,いっしょ に たいさく を かんがえましょう,Let's think together about what measures we'll take.,"Imagine a tie (対 - たい) giving a strategy (策 - さく) presentation to a group of shirts. 対策 (たいさく) means 'countermeasure' or 'strategy' in Japanese. Picture the tie saying, 'Here’s the strategy!'","{'word': '対策', 'pronunciation': 'たいさく', 'meanings': [{'nepali': 'उपाय', 'english': 'measure', 'details': ['कुनै समस्याको समाधानका लागि लिइएको उपाय।']}, {'nepali': 'उपाय योजना', 'english': 'action', 'details': ['कुनै समस्याको समाधानका लागि गरिने कार्य।']}]}"
572,JLPT2,繰り返す,くりかえす,repeat,"पुनरावृत्ति गर्नु, दोहोर्याउनु",Verb,彼女は同じ間違いを繰り返した。,उहाँले उस्तै गल्ती पुनरावृत्ति गरिन्।,かのじょ は おなじ まちがい を くりかえした,She repeated the same mistake.,"Picture a squirrel (繰 - く) repeatedly (繰り返す - くりかえす) gathering nuts in the same spot. 繰り返す (くりかえす) means 'to repeat' in Japanese. Picture the squirrel saying, 'Repeat and gather!'","{'word': '繰り返す', 'pronunciation': 'くりかえす', 'meanings': [{'nepali': 'पुनरावृत्ति गर्नु', 'english': 'repeat', 'details': ['कुनै क्रिया वा प्रक्रियालाई फेरि गर्नु।']}, {'nepali': 'दोहोर्याउनु', 'english': 'reiterate', 'details': ['कुनै कुरा फेरि भनिनु वा गरिनु।']}]}"
573,JLPT2,評価,ひょうか,"evaluation, appraisal","मूल्याङ्कन, प्रशंसा",Verbal Noun,最近、彼の評価が上がった。,हालै उहाँको मूल्याङ्कन बढेको छ।,さいきん かれ の ひょうか が あがった,He's been receiving more recognition lately.,"Imagine a hippopotamus (評 - ひょう) evaluating (価 - か) a talent show. 評価 (ひょうか) means 'evaluation' in Japanese. Picture the hippo saying, 'You get a 10!'","{'word': '評価', 'pronunciation': 'ひょうか', 'meanings': [{'nepali': 'मूल्याङ्कन', 'english': 'evaluation', 'details': ['कुनै वस्तु, व्यक्ति वा प्रक्रियाको गुणस्तर वा मूल्य निर्धारण।']}, {'nepali': 'प्रशंसा', 'english': 'appraisal', 'details': ['कुनै वस्तु वा व्यक्तिको गुणस्तर वा मूल्यको प्रशंसा।']}]}"
574,JLPT2,なお,なお,"still, in addition","अझै, थप",Adverb,なお、雨の場合は中止です。,"अझै, वर्षा भएमा रद्द गरिनेछ।",なお あめ の ばあい は ちゅうし です,"Moreover, it will be canceled in the event of rain.","Visualize a nautilus (なお) saying 'still, there’s more!' while presenting facts. なお means 'still' or 'furthermore' in Japanese. Picture the nautilus saying, 'Still more to come!'","{'word': 'なお', 'pronunciation': 'なお', 'meanings': [{'nepali': 'अझै', 'english': 'still', 'details': ['अहिलेसम्म पनि।']}, {'nepali': 'थप', 'english': 'in addition', 'details': ['अर्को कुरा थप गर्नु।']}]}"
575,JLPT2,計算,けいさん,calculation,"गणना, हिसाब",Verbal Noun,その計算は間違っている。,यो गणना गलत छ।,その けいさん は まちがって いる,That calculation is wrong.,"Imagine a calculator (計 - けい) working out the math with a samurai (算 - さん). 計算 (けいさん) means 'calculation' in Japanese. Picture the calculator saying, 'Let’s calculate!'","{'word': '計算', 'pronunciation': 'けいさん', 'meanings': [{'nepali': 'गणना', 'english': 'calculation', 'details': ['कुनै संख्याको हिसाब गर्नु।']}, {'nepali': 'हिसाब', 'english': 'accounting', 'details': ['अर्थ सम्बन्धी गणना।']}]}"
576,JLPT1,投資,とうし,investment,लगानी,Verbal Noun,私は4つの会社に投資しています。,मैले चारवटा कम्पनीमा लगानी गरेको छु।,わたし は よっつ の かいしゃ に とうし して います,I'm investing in four companies.,"Picture a toaster (投 - とう) making a wise investment (資 - し) in golden bread. 投資 (とうし) means 'investment' in Japanese. Picture the toaster saying, 'Investing in gold!'","{'word': '投資', 'pronunciation': 'とうし', 'meanings': [{'nepali': 'लगानी', 'english': 'investment', 'details': ['कुनै कम्पनी वा परियोजनामा पैसा लगाउनु।']}]}"
577,JLPT2,可能,かのう,"possible, potential",संभव,Adjectival Noun,20キロのダイエットは可能だと思いますか。,२० किलो तौल घटाउनु सम्भव छ भनी तपाईं सोच्नुहुन्छ?,にじゅっきろ の だいえっと は かのう だ と おもいます か,Do you think it's possible to go on a twenty kilogram diet?,"Visualize a kangaroo (可 - か) holding a sign saying 'possible' (能 - のう). 可能 (かのう) means 'possible' in Japanese. Picture the kangaroo saying, 'Anything is possible!'","{'word': '可能', 'pronunciation': 'かのう', 'meanings': [{'nepali': 'संभव', 'english': 'possible', 'details': ['केही गर्न सकिने।']}, {'nepali': 'संभावना', 'english': 'potential', 'details': ['केही गर्न सकिने सम्भावना।']}]}"
578,JLPT2,加える,くわえる,"add, include","थप्नु, समावेश गर्नु",Verb,塩、コショウを加えてください。,"नुन, मरिच थप्नुहोस्।",しお こしょう を くわえて ください,Please add the salt and pepper.,"Imagine a koala (加 - くわ) adding (加える - くわえる) toppings to its pizza. 加える (くわえる) means 'to add' in Japanese. Picture the koala saying, 'Add more toppings!'","{'word': '加える', 'pronunciation': 'くわえる', 'meanings': [{'nepali': 'थप्नु', 'english': 'add', 'details': ['केही कुरा थप्नु।']}, {'nepali': 'समावेश गर्नु', 'english': 'include', 'details': ['केही कुरा समावेश गर्नु।']}]}"
579,JLPT2,種類,しゅるい,"kind, species","प्रकार, जात",Noun,バラには色々な種類があります。,गुलाबका विभिन्न प्रकार छन्।,ばら に は いろいろ な しゅるい が あります,There are many varieties of rose.,"Picture a giant shrimp (種 - しゅ) showcasing various types (類 - るい) of shells. 種類 (しゅるい) means 'type' or 'kind' in Japanese. Picture the shrimp saying, 'Variety is the spice!'","{'word': '種類', 'pronunciation': 'しゅるい', 'meanings': [{'nepali': 'प्रकार', 'english': 'kind', 'details': ['कुनै वस्तुको विविधता।']}, {'nepali': 'जात', 'english': 'species', 'details': ['जीवहरूको विविधता।']}]}"
580,JLPT2,強化,きょうか,strengthening,"मजबूत, सुदृढ",Verbal Noun,国は国語教育を強化しています。,देशले मातृभाषा शिक्षालाई सुदृढ गरिरहेको छ।,くに は こくご きょういく を きょうか して います,Our government is strengthening its program in native language education.,"Imagine a kangaroo (強 - きょう) strengthening (化 - か) its muscles by lifting weights. 強化 (きょうか) means 'strengthening' in Japanese. Picture the kangaroo saying, 'Building strength!'","{'word': '強化', 'pronunciation': 'きょうか', 'meanings': [{'nepali': 'मजबूत', 'english': 'strengthening', 'details': ['केही कुरा अझ बलियो बनाउनु।']}, {'nepali': 'सुदृढ', 'english': 'reinforcement', 'details': ['केही कुरा अझ बलियो बनाउन थप्नु।']}]}"
581,JLPT3,意見,いけん,opinion,"विचार, मत",Noun,あなたの意見が聞きたいです。,तपाईंको विचार सुन्न चाहन्छु।,あなた の いけん が ききたい です,I want to hear your opinion.,"Visualize an eagle (意 - い) sharing its opinion (見 - けん) loudly from the sky. 意見 (いけん) means 'opinion' in Japanese. Picture the eagle saying, 'Here’s my opinion!'","{'word': '意見', 'pronunciation': 'いけん', 'meanings': [{'nepali': 'विचार', 'english': 'opinion', 'details': ['कुनै विषयमा व्यक्त गरिएको विचार।']}, {'nepali': 'मत', 'english': 'view', 'details': ['कुनै विषयमा व्यक्त गरिएको दृष्टिकोण।']}]}"
582,JLPT1,伴う,ともなう,"accompany, go with","साथमा हुनु, साथमा लिने",Verb,その仕事は危険を伴う。,त्यो काम खतरासँग हुन्छ।,その しごと は きけん を ともなう,Danger comes with the job.,"Picture a panda (伴 - とも) accompanying (伴う - ともなう) a friend on an adventure. 伴う (ともなう) means 'to accompany' in Japanese. Picture the panda saying, 'I’ll accompany you!'","{'word': '伴う', 'pronunciation': 'ともなう', 'meanings': [{'nepali': 'साथमा हुनु', 'english': 'accompany', 'details': ['कुनै कुराको साथमा हुनु।']}, {'nepali': 'साथमा लिने', 'english': 'go with', 'details': ['कुनै कुराको साथमा जानु।']}]}"
583,JLPT4,新聞,しんぶん,newspaper,समाचारपत्र,Noun,今日の新聞、どこに置いた?,आजको समाचारपत्र कहाँ राखिएको छ?,きょう の しんぶん どこ に おいた,Where did you put today's newspaper?,"Imagine a ninja (新 - しん) reading the morning newspaper (聞 - ぶん). 新聞 (しんぶん) means 'newspaper' in Japanese. Picture the ninja saying, 'Today’s news!'","{'word': '新聞', 'pronunciation': 'しんぶん', 'meanings': [{'nepali': 'समाचारपत्र', 'english': 'newspaper', 'details': ['समाचार र जानकारी दिने छापिएको पत्र।']}]}"
584,JLPT2,文章,ぶんしょう,"writing, prose","लेखन, गद्य",Noun,彼は文章がとてもうまい。,उहाँको लेखन धेरै राम्रो छ।,かれ は ぶんしょう が とても うまい,His writing is very good.,"Picture a monkey (文 - ぶん) writing a long essay (章 - しょう) with a banana pen. 文章 (ぶんしょう) means 'essay' or 'writing' in Japanese. Picture the monkey saying, 'Writing my masterpiece!'","{'word': '文章', 'pronunciation': 'ぶんしょう', 'meanings': [{'nepali': 'लेखन', 'english': 'writing', 'details': ['लेखिएको सामग्री।']}, {'nepali': 'गद्य', 'english': 'prose', 'details': ['गद्यमा लेखिएको साहित्य।']}]}"
585,JLPT2,目立つ,めだつ,"stand out, be conspicuous",目立つ,Verb,彼女の大きな帽子はとても目立つ。,उहाँको ठूलो टोपी धेरै目立つ।,かのじょ の おおき な ぼうし は とても めだつ,Her big hat really stands out.,"Visualize a giant eye (目 - め) standing out (目立つ - めだつ) in a crowd. 目立つ (めだつ) means 'to stand out' in Japanese. Picture the eye saying, 'Look at me!'","{'word': '目立つ', 'pronunciation': 'めだつ', 'meanings': [{'nepali': '目立つ', 'english': 'stand out', 'details': ['धेरै राम्रोसँग目立つ।']}, {'nepali': 'प्रमुख हुनु', 'english': 'be conspicuous', 'details': ['सजिलै देखिनु वा目立つ。']}]}"
586,JLPT2,設計,せっけい,"design, plan","डिजाइन, योजना",Verbal Noun,兄は船の設計をしています。,भाइ जहाज डिजाइन गर्छन्।,あに は ふね の せっけい を して います,My big brother is designing a ship.,"Imagine a set (設 - せつ) of kites (計 - けい) being carefully designed. 設計 (せっけい) means 'design' in Japanese. Picture the kites saying, 'Designed to fly!'","{'word': '設計', 'pronunciation': 'せっけい', 'meanings': [{'nepali': 'डिजाइन', 'english': 'design', 'details': ['कुनै वस्तु वा संरचनाको डिजाइन।']}, {'nepali': 'योजना', 'english': 'plan', 'details': ['कुनै वस्तु वा परियोजनाको योजना।']}]}"
587,JLPT2,構造,こうぞう,"construction, structure",संरचना,Noun,この建物の構造は複雑です。,यो भवनको संरचना जटिल छ।,この たてもの の こうぞう は ふくざつ です,The structure of this building is complex.,"Picture a giant koala (構 - こう) building the structure (造 - ぞう) of a treehouse. 構造 (こうぞう) means 'structure' in Japanese. Picture the koala saying, 'Building the structure!'","{'word': '構造', 'pronunciation': 'こうぞう', 'meanings': [{'nepali': 'संरचना', 'english': 'construction', 'details': ['कुनै वस्तु वा संरचनाको निर्माण।']}, {'nepali': 'संरचना', 'english': 'structure', 'details': ['कुनै वस्तु वा संरचनाको संरचना।']}]}"
588,JLPT2,国会,こっかい,"National Diet, parliament",राष्ट्रिय संसद,Noun,国会が再開した。,राष्ट्रिय संसद पुनः सुरु भयो।,こっかい が さいかい した,The Diet reconvened.,"Imagine a cookie (国 - こく) giving a speech in parliament (会 - かい). 国会 (こっかい) means 'parliament' in Japanese. Picture the cookie saying, 'Parliament is in session!'","{'word': '国会', 'pronunciation': 'こっかい', 'meanings': [{'nepali': 'राष्ट्रिय संसद', 'english': 'National Diet', 'details': ['कुनै देशको राष्ट्रिय संसद।']}, {'nepali': 'संसद', 'english': 'parliament', 'details': ['कुनै देशको संसद।']}]}"
589,JLPT2,ほぼ,ほぼ,"almost, nearly",लगभग,Adverb,仕事がほぼ終わりました。,काम लगभग समाप्त भयो।,しごと が ほぼ おわりました,My work is almost finished.,"Picture a hobo (ほぼ) almost (ほぼ) finding his treasure. ほぼ means 'almost' in Japanese. Picture the hobo saying, 'Almost there!'","{'word': 'ほぼ', 'pronunciation': 'ほぼ', 'meanings': [{'nepali': 'लगभग', 'english': 'almost', 'details': ['कुनै कुरा लगभग पूरा हुनु।']}, {'nepali': 'लगभग', 'english': 'nearly', 'details': ['कुनै कुरा लगभग पूरा हुनु।']}]}"
590,JLPT2,相手,あいて,opponent,"प्रतिद्वन्द्वी, साथी",Noun,試合の相手は誰ですか。,खेलको प्रतिद्वन्द्वी को हो?,しあい の あいて は だれ です か,Who are they playing against?,"Visualize an aardvark (相 - あい) with a tennis racket, facing (手 - て) its opponent. 相手 (あいて) means 'opponent' in Japanese. Picture the aardvark saying, 'Ready for the match!'","{'word': '相手', 'pronunciation': 'あいて', 'meanings': [{'nepali': 'प्रतिद्वन्द्वी', 'english': 'opponent', 'details': ['खेल वा प्रतिस्पर्धामा प्रतिस्पर्धा गर्ने व्यक्ति।']}, {'nepali': 'साथी', 'english': 'partner', 'details': ['कुनै कार्य वा गतिविधिमा सहभागी व्यक्ति।']}]}"
591,JLPT1,発生,はっせい,"occurrence, happening","घटना, घटित हुनु",Verbal Noun,交差点で事故が発生した。,चोकमा दुर्घटना भयो।,こうさてん で じこ が はっせい した,There was an accident at the intersection.,"Imagine a giant hot spring (発 - はっ) suddenly emerging (生 - せい) from the ground. 発生 (はっせい) means 'occurrence' in Japanese. Picture the hot spring saying, 'I just emerged!'","{'word': '発生', 'pronunciation': 'はっせい', 'meanings': [{'nepali': 'घटना', 'english': 'occurrence', 'details': ['कुनै घटना हुनु।']}, {'nepali': 'घटित हुनु', 'english': 'happening', 'details': ['कुनै घटना घटित हुनु।']}]}"
592,JLPT1,採用,さいよう,employment,"भर्ना, रोजगारी",Verbal Noun,その会社は女性を多く採用している。,त्यो कम्पनीले धेरै महिलालाई भर्ना गरेको छ।,その かいしゃ は じょせい を おおく さいよう して いる,This company employs many women.,"Picture a giant Saiyan (採 - さい) from Dragon Ball Z being recruited (用 - よう) for a job. 採用 (さいよう) means 'recruitment' or 'adoption' in Japanese. Picture the Saiyan saying, 'You’re hired!'","{'word': '採用', 'pronunciation': 'さいよう', 'meanings': [{'nepali': 'भर्ना', 'english': 'employment', 'details': ['कुनै कम्पनी वा संस्थामा काममा लगाउनु।']}, {'nepali': 'रोजगारी', 'english': 'recruitment', 'details': ['कुनै कम्पनी वा संस्थामा नयाँ कर्मचारी भर्ना गर्नु।']}]}"
